City,Locality,Area_sqft,Bedrooms,Bathrooms,Balconies,Parking,Floor,Total_Floors,Property_Age,Furnishing,Facing,Gated_Society,Lift,Power_Backup,Security,Gym,Swimming_Pool,Metro_Distance_km,Hospital_Distance_km,School_Distance_km,Mall_Distance_km,Expressway_Distance_km,RRTS_Distance_km,Price_INR
Noida,Sector 78,2101,3,3,0,Yes,6,30,19,Semi-Furnished,South,No,Yes,Yes,No,No,Yes,5.35,6.74,0.26,4.43,7.14,12.95,26945599
Delhi,Pitampura,4392,4,3,1,Yes,8,21,17,Semi-Furnished,North,Yes,Yes,Yes,Yes,No,No,9.15,6.31,3.58,2.31,14,10.58,47527941
Greater Noida,Beta 2,4068,3,2,3,Yes,19,28,9,Semi-Furnished,West,No,Yes,Yes,No,No,Yes,6.16,2.9,4.17,3.02,2.17,19.4,35120805
Greater Noida,Knowledge Park,1109,1,2,3,Yes,21,29,22,Unfurnished,West,No,Yes,No,Yes,Yes,No,10.44,7.89,0.68,8.54,4.17,12.25,8641665
Greater Noida,Alpha 1,735,3,3,3,Yes,7,25,8,Semi-Furnished,South,Yes,Yes,Yes,No,No,Yes,1.76,7.28,5.85,8.1,9.78,10.3,6812812
Delhi,Janakpuri,4430,1,2,1,Yes,17,27,16,Semi-Furnished,North,Yes,Yes,Yes,Yes,Yes,Yes,2.06,7.65,1.99,1.16,7.6,8.45,72606898
Greater Noida,Knowledge Park,4016,5,4,1,Yes,12,26,14,Unfurnished,East,No,Yes,Yes,Yes,Yes,No,8.32,2.49,4.02,2.26,10.05,12.15,23728092
Noida,Sector 62,1340,3,3,1,Yes,3,9,10,Unfurnished,South,No,Yes,No,Yes,No,No,5.63,3.52,3.88,9.2,4.62,0.95,16574055
Gurugram,Sohna Road,1168,2,1,0,No,25,28,24,Semi-Furnished,South,No,Yes,No,Yes,Yes,No,2.04,3.29,5.82,7.49,9.8,15.69,16627713
Gurugram,DLF Phase 1,1081,4,4,2,Yes,11,28,6,Semi-Furnished,South,Yes,Yes,No,Yes,No,Yes,11.53,4.72,4.8,8.35,9.59,11.4,18998707
Faridabad,Green Fields,2614,1,1,0,No,20,26,24,Fully Furnished,North,No,Yes,Yes,Yes,No,No,3.84,5.35,4.53,4.54,14.24,17.43,19544959
Ghaziabad,Vaishali,3123,4,3,3,Yes,15,30,8,Semi-Furnished,East,Yes,Yes,Yes,Yes,Yes,No,9.67,0.24,5.68,5.92,14.94,12.24,23820390
Greater Noida,Pari Chowk,2549,1,1,2,No,18,20,11,Semi-Furnished,West,Yes,Yes,No,Yes,No,No,6.32,5.14,1.99,7.79,7.59,2.54,15223728
Faridabad,NIT,2448,5,5,0,No,22,29,19,Semi-Furnished,North,Yes,Yes,No,Yes,Yes,Yes,7.58,3.3,3.24,6.91,4.76,9.81,17106701
Noida,Sector 62,3647,5,5,3,Yes,9,13,10,Semi-Furnished,West,No,Yes,No,Yes,No,Yes,9.87,3.76,0.79,3.69,11.72,5.96,39957509
Ghaziabad,Kaushambi,1857,4,3,3,Yes,12,22,7,Semi-Furnished,South,No,Yes,No,Yes,Yes,No,3.8,7.26,0.88,5.46,4.65,11.18,13773873
Greater Noida,Beta 2,1567,2,1,2,Yes,0,4,2,Unfurnished,North,Yes,Yes,No,Yes,Yes,No,0.73,0.9,0.95,8.16,9.77,16.34,16522440
Greater Noida,Pari Chowk,831,3,3,3,Yes,18,23,4,Unfurnished,East,Yes,Yes,No,Yes,Yes,Yes,9.66,4.4,1.72,7.91,11.29,10.42,7235345
Delhi,Pitampura,1189,4,4,3,No,23,25,13,Semi-Furnished,West,Yes,Yes,No,Yes,No,No,0.82,1.54,3.82,1.53,4.91,15.96,18680025
Ghaziabad,Crossings Republik,2934,2,1,3,Yes,18,26,4,Unfurnished,South,Yes,Yes,No,Yes,Yes,No,2.58,7.8,4.58,3.13,3.61,9.07,20133258
Faridabad,Sector 21,2782,1,1,2,No,22,23,4,Semi-Furnished,West,No,Yes,Yes,No,Yes,Yes,8.34,5.34,3.4,9.12,13.64,12.55,16518938
Greater Noida,Gamma 1,3758,4,3,2,No,14,25,2,Semi-Furnished,North,Yes,Yes,No,No,Yes,No,10.76,6.21,5.21,2.87,7.86,0.72,22897733
Greater Noida,Beta 2,2883,4,3,3,No,23,30,17,Unfurnished,North,No,Yes,Yes,No,No,No,7.35,1.36,5.73,1.65,7.81,2.52,16728985
Gurugram,Sohna Road,3805,2,1,1,Yes,5,21,4,Unfurnished,North,Yes,Yes,No,No,Yes,No,6.24,4.54,5.62,6.84,3.96,11.09,51123238
Greater Noida,Beta 2,3196,2,1,1,Yes,5,22,23,Semi-Furnished,North,Yes,Yes,Yes,No,Yes,No,9.22,3.32,1.05,9.2,1.84,13.04,30023092
Greater Noida,Beta 2,780,3,3,2,No,8,23,4,Unfurnished,East,No,Yes,No,Yes,Yes,No,2.07,1.57,2.19,6.99,6.9,1.12,8763377
Faridabad,Sector 37,3103,1,1,3,No,7,12,23,Unfurnished,West,Yes,Yes,Yes,Yes,No,Yes,5.9,7.65,4.53,4.13,11.45,19.11,19022593
Ghaziabad,Crossings Republik,4361,1,2,3,Yes,7,15,10,Fully Furnished,East,Yes,Yes,Yes,Yes,No,Yes,9.4,0.64,2.73,7.45,10.25,9.44,36585364
Faridabad,Sector 21,2347,5,4,1,Yes,14,27,4,Unfurnished,South,Yes,Yes,No,Yes,No,Yes,9.08,2.76,0.87,4.77,3.83,19.48,14078309
Delhi,Saket,3936,1,1,0,No,10,21,10,Semi-Furnished,East,No,Yes,Yes,No,No,No,1.43,7.14,2.83,3.38,4.6,13.99,69347732
Delhi,Saket,4337,1,2,3,No,16,30,23,Semi-Furnished,South,Yes,Yes,No,Yes,Yes,Yes,2.71,5.48,0.21,9.24,8.49,4.87,48946419
Ghaziabad,Indirapuram,3642,3,3,0,Yes,19,30,6,Unfurnished,South,No,Yes,No,Yes,Yes,Yes,1.35,7.39,2.76,2.59,2.43,14.37,25065182
Gurugram,Sohna Road,4133,5,4,3,No,18,28,14,Unfurnished,South,Yes,Yes,Yes,Yes,Yes,No,10.6,5.66,3.54,5.63,3.32,11.77,39797213
Noida,Sector 62,1582,4,4,3,Yes,1,26,7,Semi-Furnished,North,No,Yes,No,No,Yes,No,5.67,3.16,3.75,5.61,6.22,17.53,16067811
Gurugram,Sohna Road,713,1,2,0,Yes,3,14,8,Semi-Furnished,South,No,Yes,No,No,Yes,No,0.28,1,3.12,0.94,7.52,7.08,10515566
Noida,Sector 62,987,2,2,1,No,22,28,5,Unfurnished,North,Yes,Yes,Yes,No,Yes,No,10.4,5.67,1.49,1.14,5.91,19.18,10486054
Noida,Sector 78,2342,4,4,3,Yes,14,29,14,Unfurnished,East,No,Yes,Yes,No,No,Yes,11.44,7.36,2.12,9.11,4.44,15.31,18961642
Faridabad,Sector 21,1513,5,5,3,Yes,13,23,24,Fully Furnished,South,No,Yes,No,Yes,Yes,Yes,4.74,0.35,1.6,8.36,0.23,18.43,11694144
Delhi,Dwarka,545,1,2,3,Yes,3,30,16,Fully Furnished,North,No,Yes,No,Yes,No,Yes,7.08,3.98,4.52,2.47,2.91,6.7,9840852
Faridabad,Sector 21,1395,5,4,1,No,8,29,9,Fully Furnished,South,No,Yes,No,No,No,No,5.38,7.33,4.31,8.45,4.49,16.04,13306467
Delhi,Saket,1727,1,2,3,No,14,23,4,Fully Furnished,South,No,Yes,No,No,Yes,Yes,2.37,3.13,4.97,1.74,14.66,12.3,22501203
Faridabad,NIT,2570,4,3,0,Yes,16,18,5,Fully Furnished,East,No,Yes,Yes,Yes,No,Yes,5.27,0.78,1.2,9.08,2.74,14.33,21485978
Faridabad,Sector 21,1236,3,3,1,No,9,17,15,Semi-Furnished,East,Yes,Yes,Yes,Yes,No,Yes,10.64,1.23,0.45,2.83,0.89,19.62,9478251
Faridabad,Sector 15,1078,3,3,3,No,13,28,16,Unfurnished,North,Yes,Yes,No,Yes,Yes,No,7.42,1.89,5.95,3.83,3.35,8.61,10254521
Gurugram,Sohna Road,910,3,2,3,No,18,28,3,Semi-Furnished,West,Yes,Yes,No,No,Yes,Yes,4.27,6.36,2.15,9.11,4.08,7.78,16614706
Gurugram,Golf Course Road,3046,5,4,2,Yes,3,5,14,Semi-Furnished,East,Yes,Yes,Yes,Yes,No,No,5.72,5.88,4.3,0.95,13.66,7.06,39937995
Greater Noida,Beta 2,4079,2,2,1,No,8,18,21,Semi-Furnished,West,Yes,Yes,Yes,No,No,Yes,6.96,4.46,2.12,7.93,7.15,9.09,31363086
Ghaziabad,Crossings Republik,2580,2,1,3,No,2,16,6,Semi-Furnished,East,No,Yes,No,No,No,Yes,0.25,5.62,5.05,9.61,6.99,9.6,15713215
Faridabad,Sector 15,2496,4,4,0,Yes,12,15,9,Semi-Furnished,North,Yes,Yes,Yes,No,No,No,10.96,4.97,2.42,0.68,12.47,15.08,16577653
Gurugram,DLF Phase 1,4467,3,2,1,Yes,10,23,1,Semi-Furnished,West,Yes,Yes,Yes,Yes,Yes,No,9.3,7.05,5.95,6.53,3,12.62,43630803
Faridabad,Sector 37,2054,1,2,0,No,7,18,21,Semi-Furnished,South,Yes,Yes,No,No,No,Yes,5.12,6.98,5.3,0.82,10.17,5.62,12854293
Greater Noida,Alpha 1,3544,3,3,3,Yes,24,26,13,Semi-Furnished,West,No,Yes,Yes,No,No,No,7.13,5.4,5.97,9.36,12.62,8.8,32992061
Greater Noida,Alpha 1,3005,4,4,0,Yes,18,27,24,Fully Furnished,South,No,Yes,Yes,No,No,No,1.09,5.2,5.97,7.76,4.54,9.5,30156429
Delhi,Saket,612,5,5,2,Yes,9,27,25,Semi-Furnished,East,Yes,Yes,No,No,No,Yes,3.77,7.8,0.61,8.33,6.5,3.43,11514557
Delhi,Rohini,3795,4,3,3,No,24,29,18,Semi-Furnished,North,No,Yes,Yes,Yes,No,Yes,0.64,2.74,2.51,8.26,6.45,15.35,53341926
Delhi,Saket,4445,4,4,1,Yes,7,23,10,Semi-Furnished,East,Yes,Yes,Yes,Yes,Yes,Yes,7.02,5.28,2.27,3.21,5.01,11.77,54840859
Greater Noida,Beta 2,3502,1,2,3,No,10,17,8,Semi-Furnished,South,Yes,Yes,Yes,No,Yes,Yes,10.15,7.48,0.2,0.69,13.46,15.08,32271006
Delhi,Saket,2746,1,2,2,No,22,24,12,Fully Furnished,North,No,Yes,No,Yes,No,No,1.86,5.91,4.63,9.37,2.59,1.72,29089211
Noida,Sector 50,926,3,2,2,Yes,14,25,18,Fully Furnished,West,No,Yes,No,Yes,No,Yes,10.91,3.13,1.87,6.26,11.84,4.65,7649413
Greater Noida,Alpha 1,3578,4,3,0,No,14,24,9,Semi-Furnished,West,No,Yes,Yes,Yes,No,No,8.95,0.27,3.38,8.64,3.19,18.61,26799772
Delhi,Rohini,3947,2,2,3,No,5,9,15,Unfurnished,East,No,Yes,Yes,Yes,Yes,No,1.37,2.39,4.45,4.38,5.89,13.86,47995879
Faridabad,NIT,3210,2,1,3,No,1,7,25,Semi-Furnished,North,No,Yes,No,No,Yes,No,0.91,0.72,3.68,8.12,12.17,5.62,23910551
Noida,Sector 150,1233,3,3,1,Yes,2,27,18,Semi-Furnished,East,No,Yes,No,No,No,Yes,4.39,5.37,3.49,2.97,2.39,18.63,9386764
Delhi,Janakpuri,2515,5,5,0,No,2,10,23,Semi-Furnished,North,Yes,Yes,Yes,Yes,No,Yes,9.67,0.25,1.86,5.64,9.21,7.4,27199673
Delhi,Pitampura,1614,5,5,2,No,5,17,21,Fully Furnished,North,Yes,Yes,Yes,No,No,Yes,11.44,5.22,4.88,3.19,1.6,2.23,26159121
Ghaziabad,Vaishali,2909,2,1,3,Yes,14,15,12,Unfurnished,East,No,Yes,Yes,No,Yes,Yes,1.08,7.04,3.89,1.02,7.08,0.95,19956024
Noida,Sector 62,3264,4,4,1,No,7,13,11,Semi-Furnished,South,Yes,Yes,Yes,Yes,No,No,8.39,3.28,4.82,8.73,5.19,8.8,45305931
Gurugram,Sohna Road,1313,4,3,1,Yes,0,3,8,Fully Furnished,South,No,No,Yes,No,No,No,6.41,6.39,5.87,7.53,13.51,2.16,19540433
Delhi,Janakpuri,2845,4,3,0,Yes,22,23,8,Semi-Furnished,North,No,Yes,Yes,Yes,Yes,Yes,9.83,4.78,4.86,8.29,0.81,11.81,46105039
Delhi,Pitampura,4230,4,4,2,No,11,22,16,Semi-Furnished,West,Yes,Yes,No,Yes,Yes,No,4.74,2.94,2.15,7.08,12.65,17.78,61000649
Faridabad,Sector 21,2474,4,4,0,Yes,19,23,4,Fully Furnished,South,No,Yes,No,Yes,No,No,10.31,6.15,1.2,4.53,1.06,19.24,16549021
Noida,Sector 50,3694,1,2,3,Yes,22,27,5,Semi-Furnished,South,No,Yes,No,Yes,No,No,1.53,2.18,1.88,2.83,5.87,19.32,37879705
Noida,Sector 62,4217,4,4,2,Yes,6,30,14,Unfurnished,North,No,Yes,Yes,No,No,No,10.49,5.79,2.72,9.78,5.47,3.29,58442039
Gurugram,Golf Course Road,4233,4,3,2,No,7,28,0,Semi-Furnished,South,No,Yes,No,No,No,Yes,11.34,4.29,4.32,4.38,7.12,2.73,39855544
Gurugram,DLF Phase 1,1747,4,3,0,No,24,27,11,Fully Furnished,West,Yes,Yes,No,Yes,No,No,10.64,0.87,3.42,6.28,1.15,1.9,31608888
Noida,Sector 50,2318,1,1,1,No,16,20,20,Unfurnished,West,Yes,Yes,Yes,No,Yes,No,0.68,5.18,5.87,7.89,6.18,15.48,26212071
Faridabad,Sector 15,1856,3,2,2,Yes,12,30,25,Unfurnished,South,Yes,Yes,Yes,Yes,No,No,8.03,1.55,4.3,0.81,12.27,9.74,10338959
Gurugram,Sector 57,1946,5,4,0,Yes,7,9,25,Fully Furnished,South,No,Yes,No,No,Yes,No,11.93,7.03,2.77,7.86,1.36,1.62,27240052
Noida,Sector 62,3687,1,2,3,Yes,20,22,18,Semi-Furnished,East,No,Yes,No,Yes,No,Yes,4.4,1.68,3.37,2.61,1.61,7.5,38925965
Noida,Sector 62,1660,3,2,2,Yes,24,28,4,Semi-Furnished,East,No,Yes,No,No,No,No,0.74,1.23,2.77,5.09,5.81,0.61,15294477
Delhi,Saket,3552,4,4,1,No,5,20,18,Unfurnished,North,No,Yes,Yes,No,No,No,4.93,4.01,3.92,1.12,12.55,17.09,43096402
Ghaziabad,Vaishali,3414,3,3,1,No,3,4,21,Semi-Furnished,East,No,Yes,No,No,Yes,No,2.31,1.99,5.9,3.71,10.39,11.53,23933461
Ghaziabad,Crossings Republik,3433,3,2,1,Yes,25,26,21,Fully Furnished,South,No,Yes,Yes,Yes,Yes,Yes,2.66,7.77,0.97,9.33,0.9,4.91,31023173
Ghaziabad,Vaishali,2715,3,3,1,No,1,27,1,Unfurnished,West,Yes,Yes,No,No,No,Yes,5.04,2.38,4.58,4.37,5.21,7.82,22388910
Faridabad,Sector 15,2931,5,5,2,Yes,7,30,20,Fully Furnished,West,Yes,Yes,Yes,No,No,No,6.03,1.68,5.15,6.02,13.1,3.55,17384539
Faridabad,Green Fields,2601,4,3,3,No,12,20,7,Fully Furnished,East,Yes,Yes,No,Yes,Yes,Yes,8.81,3.16,1.2,6.25,7.07,0.61,18242844
Greater Noida,Pari Chowk,916,1,2,0,No,11,20,15,Semi-Furnished,North,No,Yes,No,Yes,Yes,No,5.55,6.47,2.22,2.4,3.87,18.75,7983150
Faridabad,Sector 21,1355,3,3,3,No,3,14,22,Semi-Furnished,West,No,Yes,No,Yes,Yes,Yes,0.53,4.63,2.8,9.81,12.32,13.56,9410607
Noida,Sector 150,2762,5,4,1,No,8,12,9,Semi-Furnished,North,No,Yes,Yes,No,Yes,Yes,9.71,5.21,1.5,5,3.36,7.11,35973220
Faridabad,Sector 15,2576,2,1,0,No,22,29,14,Semi-Furnished,South,No,Yes,Yes,No,No,No,0.14,0.69,0.7,1.42,9.33,5.39,14233782
Noida,Sector 78,3533,5,5,0,No,21,22,22,Unfurnished,East,Yes,Yes,No,Yes,No,No,1.02,0.7,4.87,7.74,8.83,14.5,47087673
Greater Noida,Gamma 1,3139,1,1,3,No,5,18,2,Semi-Furnished,East,Yes,Yes,No,Yes,No,No,1.07,1.51,1.17,6.96,12.81,17.01,32264354
Greater Noida,Beta 2,3111,4,3,0,Yes,23,25,11,Semi-Furnished,North,Yes,Yes,Yes,No,Yes,Yes,3.81,6.97,5.59,2.92,0.74,15.28,23979083
Greater Noida,Gamma 1,1513,5,5,1,No,24,26,3,Semi-Furnished,West,No,Yes,No,Yes,Yes,Yes,10.1,2.29,4.12,1.73,8.76,16.6,15773501
Noida,Sector 150,1591,1,2,2,Yes,23,29,16,Unfurnished,West,No,Yes,Yes,No,No,No,3.46,6.17,3.21,9.36,1.32,3.93,12856876
Gurugram,Sohna Road,2004,1,2,1,No,1,24,12,Unfurnished,East,Yes,Yes,No,Yes,Yes,No,8.57,6.37,2.41,1.55,12.72,19.73,32574245
Greater Noida,Gamma 1,2372,1,2,1,No,15,27,11,Fully Furnished,West,No,Yes,No,No,Yes,Yes,1.5,3.13,3.74,5.39,14.76,15.94,21613157
Greater Noida,Alpha 1,951,4,4,2,No,14,29,16,Semi-Furnished,South,No,Yes,No,Yes,Yes,No,7.4,0.52,3.92,9.36,13.14,11.63,7618814
Ghaziabad,Indirapuram,1465,5,5,0,No,23,27,20,Semi-Furnished,West,No,Yes,Yes,No,Yes,Yes,8.86,0.27,1.47,1.26,1.28,8.95,12695755
Delhi,Saket,1616,4,3,1,Yes,8,22,10,Semi-Furnished,West,No,Yes,Yes,No,No,No,9.02,1.84,1.33,7.21,10.08,2.71,19373392
Noida,Sector 137,3976,1,2,1,Yes,1,9,15,Semi-Furnished,West,No,Yes,Yes,Yes,Yes,No,8.7,7.34,0.74,2.7,5.16,9.22,51525093
Greater Noida,Beta 2,3481,4,4,2,Yes,2,8,19,Unfurnished,South,Yes,Yes,Yes,Yes,Yes,Yes,5.38,6,2.06,5.01,4.15,0.64,29474930
Greater Noida,Knowledge Park,3341,3,2,0,Yes,19,22,17,Unfurnished,West,Yes,Yes,Yes,No,No,No,6.78,0.88,3.38,7.03,10.77,4.75,26636618
Noida,Sector 137,4209,4,4,1,No,2,12,23,Fully Furnished,East,Yes,Yes,No,No,No,No,10.68,3.48,5.46,7.34,8.13,10.35,52714358
Delhi,Saket,3314,5,5,1,Yes,5,13,2,Semi-Furnished,North,Yes,Yes,Yes,No,No,Yes,10.89,0.5,4.14,6.19,7.86,1.96,33572002
Noida,Sector 137,1055,2,2,2,No,16,20,25,Unfurnished,East,Yes,Yes,Yes,No,No,Yes,9.16,2.3,1.08,2.86,4.52,5.7,14265877
Delhi,Saket,2502,3,3,3,No,1,6,6,Semi-Furnished,West,Yes,Yes,No,Yes,Yes,Yes,10.96,4.86,0.74,3.28,3.75,12.06,31691700
Gurugram,DLF Phase 1,565,2,2,1,No,1,12,19,Semi-Furnished,West,No,Yes,Yes,Yes,Yes,Yes,10.09,2.49,5.39,9.49,7.13,15.79,9932898
Faridabad,NIT,808,4,4,3,Yes,18,25,4,Semi-Furnished,North,No,Yes,No,Yes,No,Yes,0.79,0.93,5.8,3.43,0.9,1.07,8262901
Gurugram,Sohna Road,3052,2,1,0,No,11,15,3,Semi-Furnished,North,No,Yes,Yes,Yes,No,Yes,11.82,2.62,5.47,9.45,12.4,5.85,28527548
Delhi,Pitampura,1681,5,5,0,No,23,24,8,Unfurnished,West,Yes,Yes,Yes,Yes,No,No,6.75,6.61,2.12,1.71,3.52,3.73,31293309
Gurugram,DLF Phase 1,1404,2,1,2,Yes,5,27,2,Unfurnished,South,Yes,Yes,Yes,No,No,Yes,9.92,2.68,1.01,3.64,12.91,0.96,17916400
Gurugram,DLF Phase 1,3487,3,3,0,Yes,5,22,12,Fully Furnished,South,Yes,Yes,No,No,Yes,No,4.17,2.38,4.89,3.39,13.67,14.45,60192622
Gurugram,Golf Course Road,3171,3,3,2,No,20,25,23,Unfurnished,North,Yes,Yes,Yes,Yes,Yes,No,8.03,6.77,4.27,5.7,1.4,2.81,54364729
Noida,Sector 150,463,4,3,1,No,17,28,1,Semi-Furnished,South,Yes,Yes,No,No,Yes,No,2.93,0.72,4.92,8.43,13.1,14.1,7424400
Gurugram,Sector 57,3627,5,5,0,Yes,4,5,20,Semi-Furnished,West,No,Yes,Yes,No,Yes,No,7.17,0.71,5.18,9.58,11.2,8.23,37290472
Noida,Sector 150,4048,5,4,2,No,3,24,5,Unfurnished,North,Yes,Yes,No,No,Yes,No,0.17,6.61,4.77,8.11,9.85,12.81,33896289
Faridabad,Sector 21,3626,1,2,1,No,19,29,13,Unfurnished,West,Yes,Yes,Yes,Yes,No,No,10.38,2.7,0.79,9.83,2.14,19.69,29314956
Ghaziabad,Indirapuram,3709,2,1,2,Yes,20,21,1,Unfurnished,East,Yes,Yes,Yes,Yes,No,No,0.56,0.55,1.04,4.99,11.25,0.75,31082711
Faridabad,NIT,1973,4,4,1,Yes,11,14,20,Semi-Furnished,North,No,Yes,Yes,Yes,Yes,No,7.67,4.77,5.26,7.24,4.59,8.06,11790718
Gurugram,Sector 57,2368,5,4,3,No,19,23,19,Semi-Furnished,East,No,Yes,Yes,Yes,Yes,No,8.92,3.83,4.78,8.22,13.04,4.18,29814175
Gurugram,DLF Phase 3,1474,5,5,0,No,18,27,16,Fully Furnished,South,No,Yes,Yes,No,No,No,8.11,7.27,1.4,9.76,9.53,0.72,14564204
Delhi,Dwarka,2682,1,1,1,Yes,2,6,20,Unfurnished,South,No,Yes,No,No,No,No,0.96,3.45,1.45,5.31,11.14,18.92,33940783
Gurugram,DLF Phase 3,1683,3,3,2,No,0,26,16,Unfurnished,South,No,Yes,Yes,Yes,Yes,Yes,11.38,5.29,3.57,3.61,7.83,17.2,16328701
Noida,Sector 137,4175,4,3,2,No,7,19,10,Unfurnished,South,Yes,Yes,No,No,No,No,0.73,7.67,1.17,5.49,11.51,15.17,47130576
Gurugram,Sohna Road,1521,2,1,3,No,0,6,12,Semi-Furnished,South,No,Yes,Yes,No,Yes,No,2.9,5.87,0.9,5.32,7.66,13.13,14458417
Greater Noida,Alpha 1,1486,2,1,3,Yes,15,26,24,Fully Furnished,North,No,Yes,Yes,Yes,No,No,8.69,6.65,1.04,7.72,6.22,17.73,12249287
Delhi,Janakpuri,1337,3,3,3,Yes,25,27,15,Unfurnished,East,No,Yes,Yes,No,No,No,7.6,1.13,1.74,8.62,9.77,9.54,22069227
Faridabad,Sector 15,3510,4,4,1,Yes,24,30,20,Fully Furnished,East,No,Yes,Yes,Yes,No,No,8.46,5.18,0.82,0.5,11.41,18.45,28416023
Gurugram,Golf Course Road,3143,4,4,2,No,11,30,20,Semi-Furnished,South,No,Yes,No,Yes,No,Yes,11.8,3.91,4.2,2.69,4.47,15.6,46893693
Ghaziabad,Indirapuram,1190,1,2,3,Yes,1,17,1,Semi-Furnished,South,Yes,Yes,No,Yes,No,Yes,9.28,7.1,5.56,4.23,2.41,1.79,8659147
Gurugram,Golf Course Road,4310,4,4,3,No,21,26,19,Unfurnished,North,No,Yes,Yes,No,No,Yes,4.86,4.26,1.93,2.09,12.53,12.05,56582287
Faridabad,Sector 21,3582,5,4,2,No,8,24,25,Semi-Furnished,South,No,Yes,No,Yes,No,Yes,9.62,5.99,1.89,7.2,6.37,16.71,23505116
Faridabad,Green Fields,2920,2,2,3,Yes,2,9,13,Unfurnished,South,No,Yes,Yes,Yes,No,No,9.52,1.14,4.47,4.85,11.59,9.23,17490586
Delhi,Rohini,1536,4,4,1,Yes,24,27,10,Unfurnished,West,No,Yes,Yes,Yes,No,No,1.74,3.31,4.79,3.1,8.72,13.34,16763949
Noida,Sector 62,608,4,3,1,Yes,20,29,18,Fully Furnished,South,No,Yes,No,No,No,Yes,7.5,0.78,3.12,4.81,13.49,2.52,7566505
Ghaziabad,Kaushambi,2604,4,4,1,No,23,29,3,Fully Furnished,West,No,Yes,No,No,No,Yes,6.33,6.48,0.21,6.39,6.84,13.69,19932771
Faridabad,Sector 21,3943,4,3,3,No,4,28,22,Fully Furnished,South,No,Yes,No,Yes,No,Yes,7.8,7.08,4.45,5.15,12.45,5,25358784
Noida,Sector 150,974,4,3,3,Yes,0,26,25,Semi-Furnished,North,Yes,Yes,No,No,Yes,No,8.54,7.64,1.54,5.25,0.95,1.79,10362305
Faridabad,Sector 21,468,4,3,3,No,20,30,21,Semi-Furnished,North,No,Yes,No,No,Yes,Yes,5.03,2.24,5.35,5.75,0.25,17.86,3835797
Noida,Sector 137,4160,2,2,2,No,13,16,22,Semi-Furnished,West,No,Yes,No,Yes,No,No,11.91,6.82,2.26,5.23,0.98,18.19,48084937
Noida,Sector 137,3538,5,4,1,No,0,20,18,Semi-Furnished,East,No,Yes,No,Yes,No,Yes,6.95,3.05,2.78,8.88,2.68,4.59,35988501
Faridabad,Sector 37,4346,1,2,0,No,9,24,4,Unfurnished,South,No,Yes,No,Yes,No,No,7.09,3.42,4.36,8.31,13.55,2.66,30022074
Greater Noida,Knowledge Park,2128,5,4,3,Yes,22,24,23,Fully Furnished,West,No,Yes,No,Yes,Yes,No,4.66,5.41,0.5,2.02,0.57,18.43,20937573
Noida,Sector 137,2545,2,1,1,No,10,16,4,Unfurnished,West,No,Yes,No,No,Yes,Yes,2.31,5.08,1.06,8.88,0.54,7.54,35592734
Faridabad,Sector 37,883,1,1,3,No,8,20,5,Semi-Furnished,West,No,Yes,No,No,Yes,No,8.63,4.57,2.65,8.56,14.11,1.01,6511946
Ghaziabad,Vaishali,2544,5,5,2,No,4,6,23,Semi-Furnished,West,Yes,Yes,Yes,Yes,Yes,No,1.3,2.04,1.23,5.25,5.62,10.81,21251818
Ghaziabad,Indirapuram,2906,5,4,3,Yes,17,27,4,Unfurnished,North,No,Yes,No,No,Yes,Yes,5.99,5.32,1.5,4.51,6.47,19.15,17629618
Greater Noida,Pari Chowk,4133,5,5,2,Yes,6,26,3,Unfurnished,West,No,Yes,Yes,No,No,Yes,4.06,5.81,3.14,8.41,5.24,14.74,33240970
Faridabad,NIT,3077,1,1,3,No,6,14,16,Unfurnished,South,No,Yes,Yes,Yes,No,Yes,7.87,7.23,4.22,7.42,9.75,12.4,17712808
Delhi,Dwarka,3818,3,2,1,Yes,0,2,22,Fully Furnished,East,Yes,No,Yes,No,No,Yes,6.79,4.29,3.77,3.33,2.67,2.32,54137619
Greater Noida,Gamma 1,2075,4,4,3,Yes,5,28,10,Unfurnished,West,No,Yes,Yes,No,Yes,No,11.16,6.94,1.23,2.65,1.91,11.83,15206925
Ghaziabad,Crossings Republik,917,4,4,0,Yes,10,17,22,Unfurnished,South,Yes,Yes,No,No,No,No,5.92,2.31,2.47,8.45,7.46,6.93,5849751
Noida,Sector 78,1244,1,1,2,Yes,17,28,24,Semi-Furnished,North,Yes,Yes,Yes,Yes,Yes,Yes,9.2,1.81,2.89,2.9,4.96,14.15,12043342
Ghaziabad,Indirapuram,2482,2,2,1,Yes,13,18,16,Semi-Furnished,North,Yes,Yes,No,No,No,Yes,7.42,5.46,5.98,5.6,5.17,11.08,18590742
Delhi,Saket,4153,1,1,3,No,6,30,22,Unfurnished,South,No,Yes,Yes,No,No,No,6.41,0.63,5.93,4.38,12.62,7.3,57991185
Delhi,Dwarka,595,5,5,1,Yes,12,16,10,Semi-Furnished,South,No,Yes,Yes,No,No,No,3.29,1.08,5.69,1.74,2.38,10.96,11866761
Delhi,Rohini,1140,2,2,1,No,14,27,10,Semi-Furnished,East,Yes,Yes,No,No,No,No,3.21,4.24,2.15,5.39,12.35,19.02,12506032
Faridabad,Sector 15,1703,2,2,2,No,24,27,0,Semi-Furnished,North,No,Yes,No,Yes,No,Yes,4.21,5.22,0.81,5.87,8.69,0.86,14889605
